100000 7.01061e-27  5.64186e-30 0 1.7358e-17  1.7358e-17 1.10286e-17
97719.2 6.99488e-27  5.76358e-30 0 1.76438e-17  1.76438e-17 1.12275e-17
95490.4 6.97915e-27  5.88792e-30 0 1.79337e-17  1.79337e-17 1.14301e-17
93312.5 6.96341e-27  6.01491e-30 0 1.82275e-17  1.82275e-17 1.16359e-17
91184.3 6.94768e-27  6.14463e-30 0 1.85254e-17  1.85254e-17 1.18452e-17
89104.5 6.93195e-27  6.27712e-30 0 1.88273e-17  1.88273e-17 1.20579e-17
87072.2 6.91622e-27  6.41246e-30 0 1.91333e-17  1.91333e-17 1.22742e-17
85086.3 6.90049e-27  6.55069e-30 0 1.94434e-17  1.94434e-17 1.24939e-17
83145.7 6.88476e-27  6.69188e-30 0 1.97576e-17  1.97576e-17 1.27173e-17
81249.3 6.86903e-27  6.83609e-30 0 2.0076e-17  2.0076e-17 1.29446e-17
79396.2 6.8533e-27  6.98339e-30 0 2.03987e-17  2.03987e-17 1.3175e-17
77585.3 6.83757e-27  7.13384e-30 0 2.07255e-17  2.07255e-17 1.34092e-17
75815.8 6.82184e-27  7.28751e-30 0 2.10566e-17  2.10566e-17 1.36473e-17
74086.6 6.80611e-27  7.44447e-30 0 2.13919e-17  2.13919e-17 1.38893e-17
72396.8 6.79037e-27  7.60478e-30 0 2.17316e-17  2.17316e-17 1.41352e-17
70745.6 6.77464e-27  7.76852e-30 0 2.20755e-17  2.20755e-17 1.4385e-17
69132 6.75891e-27  7.93576e-30 0 2.24238e-17  2.24238e-17 1.46387e-17
67555.3 6.74318e-27  8.10658e-30 0 2.27764e-17  2.27764e-17 1.48964e-17
66014.5 6.72745e-27  8.28104e-30 0 2.31334e-17  2.31334e-17 1.51584e-17
64508.8 6.71172e-27  8.45924e-30 0 2.34947e-17  2.34947e-17 1.54244e-17
63037.5 6.69599e-27  8.64124e-30 0 2.38604e-17  2.38604e-17 1.56946e-17
61599.8 6.68026e-27  8.82713e-30 0 2.42306e-17  2.42306e-17 1.5969e-17
60194.8 6.66453e-27  9.01699e-30 0 2.46051e-17  2.46051e-17 1.62478e-17
58821.9 6.6488e-27  9.2109e-30 0 2.49841e-17  2.49841e-17 1.65309e-17
57480.3 6.63307e-27  9.40896e-30 0 2.53675e-17  2.53675e-17 1.68185e-17
56169.3 6.61733e-27  9.61124e-30 0 2.57553e-17  2.57553e-17 1.71105e-17
54888.2 6.6016e-27  9.81784e-30 0 2.61476e-17  2.61476e-17 1.74069e-17
53636.3 6.58587e-27  1.00288e-29 0 2.65443e-17  2.65443e-17 1.77079e-17
52413 6.57014e-27  1.02443e-29 0 2.69454e-17  2.69454e-17 1.80136e-17
51217.6 6.55441e-27  1.04645e-29 0 2.7351e-17  2.7351e-17 1.83244e-17
50049.4 6.53868e-27  1.06892e-29 0 2.7761e-17  2.7761e-17 1.86391e-17
48907.9 6.52295e-27  1.09188e-29 0 2.81754e-17  2.81754e-17 1.89591e-17
47792.4 6.50722e-27  1.11533e-29 0 2.85942e-17  2.85942e-17 1.92841e-17
46702.3 6.49149e-27  1.13928e-29 0 2.90173e-17  2.90173e-17 1.96135e-17
45637.2 6.47576e-27  1.16374e-29 0 2.94449e-17  2.94449e-17 1.99481e-17
