1000 3.64214e-27  3.54363e-28 9.23824e-23 2.10776e-17  2.10777e-17 1.24026e-15
965.883 3.61958e-27  3.65331e-28 8.3246e-23 1.96965e-17  1.96965e-17 1.33602e-15
932.93 3.59703e-27  3.76632e-28 7.50131e-23 1.83464e-17  1.83464e-17 1.45124e-15
901.102 3.57448e-27  3.88274e-28 6.75944e-23 1.70317e-17  1.70318e-17 1.56666e-15
870.359 3.55192e-27  4.0027e-28 6.09095e-23 1.57565e-17  1.57566e-17 1.70164e-15
840.665 3.52937e-27  4.12627e-28 5.48856e-23 1.45246e-17  1.45246e-17 1.84856e-15
811.984 3.50681e-27  4.25358e-28 4.94575e-23 1.33394e-17  1.33394e-17 1.99022e-15
784.282 3.48426e-27  4.38474e-28 4.45663e-23 1.22039e-17  1.22039e-17 2.15592e-15
757.525 3.4617e-27  4.51985e-28 4.01588e-23 1.11207e-17  1.11208e-17 2.33985e-15
731.681 3.43915e-27  4.65903e-28 3.61871e-23 1.00921e-17  1.00922e-17 2.5185e-15
706.718 3.41659e-27  4.80239e-28 3.26083e-23 9.1198e-18  9.11983e-18 2.72876e-15
682.607 3.39404e-27  4.95007e-28 2.93834e-23 8.20495e-18  8.20498e-18 2.95268e-15
659.319 3.37148e-27  5.10219e-28 2.64774e-23 7.34834e-18  7.34836e-18 3.18151e-15
636.825 3.34893e-27  5.25887e-28 2.38589e-23 6.55024e-18  6.55026e-18 3.44049e-15
615.099 3.32637e-27  5.42025e-28 2.14993e-23 5.81044e-18  5.81046e-18 3.72109e-15
594.113 3.30382e-27  5.58647e-28 1.9373e-23 5.12828e-18  5.1283e-18 4.02052e-15
573.844 3.28126e-27  5.75765e-28 1.74571e-23 4.50267e-18  4.50269e-18 4.34684e-15
554.266 3.25871e-27  5.93396e-28 1.57306e-23 3.93211e-18  3.93213e-18 4.69759e-15
535.357 3.23615e-27  6.11553e-28 1.41749e-23 3.41474e-18  3.41475e-18 5.05295e-15
517.092 3.2136e-27  6.30252e-28 1.2773e-23 2.94836e-18  2.94837e-18 5.45785e-15
499.451 3.19104e-27  6.49508e-28 1.15098e-23 2.5305e-18  2.53051e-18 5.8886e-15
482.411 3.16849e-27  6.69337e-28 1.03715e-23 2.15847e-18  2.15849e-18 6.35641e-15
465.953 3.14593e-27  6.89756e-28 9.34576e-24 1.82939e-18  1.8294e-18 6.87688e-15
450.056 3.12338e-27  7.10782e-28 8.42148e-24 1.54024e-18  1.54024e-18 7.41744e-15
434.701 3.10082e-27  7.32431e-28 7.58861e-24 1.28792e-18  1.28792e-18 7.99378e-15
419.871 3.07826e-27  7.54723e-28 6.83811e-24 1.06931e-18  1.06932e-18 8.61763e-15
405.546 3.05571e-27  7.77674e-28 6.16183e-24 8.81301e-19  8.81308e-19 9.29141e-15
391.71 3.03315e-27  8.01303e-28 5.55244e-24 7.20839e-19  7.20844e-19 1.00117e-14
378.346 3.01059e-27  8.25631e-28 5.00331e-24 5.84961e-19  5.84966e-19 1.08057e-14
365.438 2.98804e-27  8.50676e-28 4.50849e-24 4.70834e-19  4.70839e-19 1.16409e-14
352.971 2.96548e-27  8.7646e-28 4.06261e-24 3.75782e-19  3.75786e-19 1.25317e-14
340.929 2.94292e-27  9.03002e-28 3.66083e-24 2.97304e-19  2.97308e-19 1.35116e-14
329.297 2.92037e-27  9.30324e-28 3.29878e-24 2.3309e-19  2.33094e-19 1.45479e-14
