100000 7.01061e-24  5.64186e-27 0 2.93485e-15  2.93485e-15 1.03781e-15
94378.8 6.97116e-24  5.95203e-27 0 3.07688e-15  3.07688e-15 1.09088e-15
89073.5 6.93172e-24  6.27914e-27 0 3.22545e-15  3.22545e-15 1.14657e-15
84066.5 6.89227e-24  6.6241e-27 0 3.38084e-15  3.38084e-15 1.20502e-15
79341 6.85282e-24  6.98788e-27 0 3.54335e-15  3.54335e-15 1.26637e-15
74881 6.81338e-24  7.37149e-27 0 3.71328e-15  3.71328e-15 1.33074e-15
70671.8 6.77393e-24  7.77601e-27 0 3.89094e-15  3.89094e-15 1.39829e-15
66699.2 6.73449e-24  8.20256e-27 0 4.07664e-15  4.07664e-15 1.46915e-15
62949.9 6.69504e-24  8.65234e-27 0 4.27073e-15  4.27073e-15 1.54348e-15
59411.3 6.65559e-24  9.1266e-27 0 4.47354e-15  4.47354e-15 1.62145e-15
56071.7 6.61615e-24  9.62666e-27 0 4.68543e-15  4.68543e-15 1.70322e-15
52919.8 6.5767e-24  1.01539e-26 0 4.90677e-15  4.90677e-15 1.78897e-15
49945.1 6.53726e-24  1.07098e-26 0 5.13793e-15  5.13793e-15 1.8789e-15
47137.5 6.49781e-24  1.12959e-26 0 5.37932e-15  5.37932e-15 1.97317e-15
44487.8 6.45837e-24  1.19139e-26 0 5.63133e-15  5.63133e-15 2.07199e-15
41987.1 6.41892e-24  1.25653e-26 0 5.89438e-15  5.89438e-15 2.17559e-15
39626.9 6.37947e-24  1.32521e-26 0 6.1689e-15  6.1689e-15 2.28416e-15
37399.4 6.34003e-24  1.39762e-26 0 6.45532e-15  6.45532e-15 2.39793e-15
35297.1 6.30058e-24  1.47394e-26 0 6.7541e-15  6.7541e-15 2.51714e-15
33312.9 6.26114e-24  1.55441e-26 0 7.0657e-15  7.0657e-15 2.64203e-15
31440.4 6.22169e-24  1.63923e-26 0 7.39061e-15  7.39061e-15 2.77286e-15
29673 6.18224e-24  1.72863e-26 0 7.7293e-15  7.7293e-15 2.90988e-15
28005 6.1428e-24  1.82287e-26 0 8.08228e-15  8.08228e-15 3.05337e-15
26430.8 6.10335e-24  1.92221e-26 0 8.45006e-15  8.45006e-15 3.20363e-15
24945.1 6.06391e-24  2.02691e-26 0 8.83315e-15  8.83315e-15 3.36093e-15
23542.9 6.02446e-24  2.13727e-26 0 9.2321e-15  9.2321e-15 3.5256e-15
22219.5 5.98502e-24  2.25358e-26 0 9.64744e-15  9.64744e-15 3.69793e-15
20970.5 5.94557e-24  2.37616e-26 0 1.00797e-14  1.00797e-14 3.87828e-15
19791.7 5.90612e-24  2.50536e-26 0 1.05295e-14  1.05295e-14 4.06697e-15
18679.1 5.86668e-24  2.64151e-26 0 1.09974e-14  1.09974e-14 4.26436e-15
17629.1 5.82723e-24  2.78499e-26 0 1.14839e-14  1.14839e-14 4.47083e-15
16638.2 5.78779e-24  2.93619e-26 0 1.19896e-14  1.19896e-14 4.68677e-15
15702.9 5.74834e-24  3.09553e-26 0 1.25151e-14  1.25151e-14 4.91256e-15
14820.2 5.70889e-24  3.26342e-26 0 1.3061e-14  1.3061e-14 5.14858e-15
13987.1 5.66945e-24  3.44034e-26 0 1.36278e-14  1.36278e-14 5.39531e-15
13200.9 5.63e-24  3.62675e-26 0 1.42162e-14  1.42162e-14 5.65314e-15
12458.8 5.59056e-24  3.82317e-26 0 1.48266e-14  1.48266e-14 5.92255e-15
11758.5 5.55111e-24  4.03011e-26 0 1.54598e-14  1.54598e-14 6.20399e-15
11097.5 5.51167e-24  4.24814e-26 0 1.61162e-14  1.61162e-14 6.49795e-15
10473.7 5.47222e-24  4.47785e-26 0 1.67964e-14  1.67964e-14 6.80493e-15
9884.96 5.43277e-24  4.71985e-26 0 1.75008e-14  1.75008e-14 7.12543e-15
9329.3 5.39333e-24  4.97479e-26 0 1.82302e-14  1.82302e-14 7.46001e-15
8804.88 5.35388e-24  5.24336e-26 0 1.89848e-14  1.89848e-14 7.80918e-15
8309.94 5.31444e-24  5.52627e-26 0 1.97653e-14  1.97653e-14 8.17354e-15
7842.82 5.27499e-24  5.82427e-26 0 2.05719e-14  2.05719e-14 8.55358e-15
7401.96 5.23555e-24  6.13817e-26 0 2.14052e-14  2.14052e-14 8.95001e-15
6985.88 5.1961e-24  6.4688e-26 0 2.22654e-14  2.22654e-14 9.36346e-15
6593.19 5.15666e-24  6.81704e-26 0 2.31528e-14  2.31528e-14 9.79437e-15
6222.57 5.11721e-24  7.18381e-26 0 2.40678e-14  2.40678e-14 1.02435e-14
5872.79 5.07776e-24  7.57008e-26 0 2.50106e-14  2.50106e-14 1.07115e-14
5542.66 5.03832e-24  7.97688e-26 0 2.59811e-14  2.59811e-14 1.11992e-14
5231.1 4.99887e-24  8.40528e-26 0 2.69795e-14  2.69795e-14 1.1707e-14
4937.05 4.95943e-24  8.85642e-26 0 2.80057e-14  2.80057e-14 1.22359e-14
4659.53 4.91998e-24  9.33147e-26 0 2.90597e-14  2.90597e-14 1.27863e-14
4397.6 4.88054e-24  9.83169e-26 0 3.01411e-14  3.01411e-14 1.33593e-14
4150.4 4.84109e-24  1.03584e-25 0 3.12496e-14  3.12496e-14 1.39554e-14
3917.1 4.80165e-24  1.09129e-25 0 3.23849e-14  3.23849e-14 1.45755e-14
3696.91 4.7622e-24  1.14968e-25 0 3.35461e-14  3.35461e-14 1.52203e-14
3489.1 4.72276e-24  1.21115e-25 0 3.47327e-14  3.47327e-14 1.58907e-14
3292.97 4.68331e-24  1.27586e-25 0 3.59437e-14  3.59437e-14 1.65875e-14
3107.87 4.64387e-24  1.34399e-25 0 3.71781e-14  3.71781e-14 1.73115e-14
2933.17 4.60442e-24  1.4157e-25 0 3.84346e-14  3.84346e-14 1.80637e-14
2768.29 4.56498e-24  1.49118e-25 0 3.97117e-14  3.97117e-14 1.88446e-14
2612.68 4.52553e-24  1.57064e-25 0 4.10079e-14  4.10079e-14 1.96552e-14
2465.81 4.48609e-24  1.65427e-25 0 4.23213e-14  4.23213e-14 2.04966e-14
2327.2 4.44665e-24  1.74229e-25 0 4.36498e-14  4.36498e-14 2.13695e-14
2196.39 4.4072e-24  1.83492e-25 0 4.4991e-14  4.4991e-14 2.22749e-14
2072.92 4.36776e-24  1.9324e-25 0 4.63423e-14  4.63423e-14 2.32137e-14
1956.4 4.32831e-24  2.03499e-25 0 4.77009e-14  4.77009e-14 2.41866e-14
1846.42 4.28887e-24  2.14294e-25 0 4.90691e-14  4.90691e-14 2.51947e-14
1742.63 4.24943e-24  2.25653e-25 0 5.04323e-14  5.04323e-14 2.62388e-14
1644.68 4.20999e-24  2.37604e-25 0 5.17924e-14  5.17924e-14 2.73203e-14
1552.23 4.17054e-24  2.50178e-25 0 5.31455e-14  5.31455e-14 2.84392e-14
1464.97 4.1311e-24  2.63407e-25 0 5.44872e-14  5.44872e-14 2.95974e-14
1382.62 4.09166e-24  2.77324e-25 0 5.58126e-14  5.58126e-14 3.07955e-14
1304.9 4.05222e-24  2.91964e-25 0 5.71169e-14  5.71169e-14 3.20339e-14
1231.55 4.01278e-24  3.07364e-25 0 5.83947e-14  5.83947e-14 3.33138e-14
1162.32 3.97334e-24  3.23562e-25 0 5.96402e-14  5.96402e-14 3.4637e-14
1096.99 3.9339e-24  3.40599e-25 0 6.08476e-14  6.08476e-14 3.6003e-14
1035.32 3.89446e-24  3.58517e-25 0 6.20105e-14  6.20105e-14 3.74133e-14
977.124 3.85502e-24  3.7736e-25 0 6.31223e-14  6.31223e-14 3.8869e-14
922.198 3.81558e-24  3.97176e-25 0 6.41761e-14  6.41761e-14 4.03709e-14
870.359 3.77614e-24  4.18013e-25 0 6.51648e-14  6.51648e-14 4.19196e-14
821.434 3.73671e-24  4.39922e-25 0 6.60812e-14  6.60812e-14 4.3516e-14
775.26 3.69727e-24  4.62957e-25 0 6.69176e-14  6.69176e-14 4.51613e-14
731.681 3.65784e-24  4.87175e-25 0 6.76664e-14  6.76664e-14 4.68554e-14
690.551 3.6184e-24  5.12634e-25 0 6.83198e-14  6.83198e-14 4.85995e-14
651.734 3.57897e-24  5.39396e-25 0 6.88702e-14  6.88702e-14 5.0395e-14
615.099 3.53954e-24  5.67526e-25 0 6.93097e-14  6.93097e-14 5.22418e-14
580.523 3.50011e-24  5.97093e-25 0 6.96308e-14  6.96308e-14 5.41412e-14
547.89 3.46068e-24  6.28166e-25 0 6.9826e-14  6.9826e-14 5.60927e-14
517.092 3.42125e-24  6.60821e-25 0 6.98882e-14  6.98882e-14 5.80987e-14
488.025 3.38183e-24  6.95136e-25 0 6.98106e-14  6.98106e-14 6.01575e-14
460.592 3.34241e-24  7.31192e-25 0 6.9587e-14  6.9587e-14 6.22718e-14
434.701 3.30299e-24  7.69075e-25 0 6.92117e-14  6.92117e-14 6.44405e-14
410.266 3.26357e-24  8.08873e-25 0 6.86798e-14  6.86798e-14 6.66655e-14
387.204 3.22415e-24  8.50682e-25 0 6.79872e-14  6.79872e-14 6.89461e-14
365.438 3.18474e-24  8.94598e-25 0 6.71308e-14  6.71308e-14 7.12818e-14
344.896 3.14533e-24  9.40724e-25 0 6.61085e-14  6.61085e-14 7.36755e-14
325.509 3.10593e-24  9.89168e-25 0 6.49197e-14  6.49197e-14 7.61263e-14
307.211 3.06652e-24  1.04004e-24 0 6.35648e-14  6.35648e-14 7.86326e-14
289.942 3.02713e-24  1.09346e-24 0 6.20458e-14  6.20458e-14 8.11965e-14
273.644 2.98773e-24  1.14955e-24 0 6.03664e-14  6.03664e-14 8.38166e-14
258.262 2.94834e-24  1.20843e-24 1.59187e-18 5.85316e-14  5.85332e-14 8.64975e-14
243.744 2.90896e-24  1.27025e-24 1.33823e-18 5.65486e-14  5.65499e-14 8.92341e-14
230.043 2.86958e-24  1.33513e-24 1.125e-18 5.44259e-14  5.4427e-14 9.20267e-14
217.112 2.83021e-24  1.40323e-24 9.4575e-19 5.21741e-14  5.21751e-14 9.48771e-14
204.907 2.79085e-24  1.4747e-24 7.9506e-19 4.98055e-14  4.98062e-14 9.7784e-14
193.389 2.75149e-24  1.54969e-24 6.68379e-19 4.73339e-14  4.73346e-14 1.00749e-13
182.518 2.71214e-24  1.62838e-24 5.61883e-19 4.47751e-14  4.47757e-14 1.0377e-13
172.259 2.6728e-24  1.71093e-24 4.72356e-19 4.21463e-14  4.21467e-14 1.06846e-13
162.576 2.63347e-24  1.79752e-24 3.97093e-19 3.94658e-14  3.94662e-14 1.09978e-13
153.437 2.59415e-24  1.88835e-24 3.33822e-19 3.67532e-14  3.67536e-14 1.13165e-13
144.812 2.55484e-24  1.9836e-24 2.80633e-19 3.40291e-14  3.40294e-14 1.16405e-13
136.672 2.51554e-24  2.08349e-24 2.35918e-19 3.13143e-14  3.13145e-14 1.19699e-13
128.989 2.47625e-24  2.18822e-24 1.98328e-19 2.863e-14  2.86302e-14 1.23048e-13
121.738 2.43698e-24  2.29802e-24 1.66728e-19 2.59971e-14  2.59973e-14 1.26451e-13
114.895 2.39773e-24  2.41312e-24 1.40162e-19 2.34361e-14  2.34362e-14 1.29902e-13
108.437 2.35849e-24  2.53375e-24 1.17829e-19 2.0966e-14  2.09662e-14 1.33403e-13
102.341 2.31927e-24  2.66016e-24 9.90551e-20 1.86049e-14  1.8605e-14 1.36956e-13
96.5883 2.28007e-24  2.79262e-24 8.32722e-20 1.63687e-14  1.63687e-14 1.40558e-13
