100000 7.01061e-33  5.64186e-36 9.24116e-29 1.76946e-23  1.76947e-23 1.38391e-22
94378.8 6.97116e-33  5.95203e-36 7.76872e-29 1.55123e-23  1.55124e-23 1.42015e-22
89073.5 6.93172e-33  6.27914e-36 6.53089e-29 1.34733e-23  1.34734e-23 1.45677e-22
84066.5 6.89227e-33  6.6241e-36 5.49029e-29 1.15878e-23  1.15879e-23 1.49394e-22
79341 6.85282e-33  6.98788e-36 4.6155e-29 9.86289e-24  9.86294e-24 1.5315e-22
74881 6.81338e-33  7.37149e-36 3.88009e-29 8.30259e-24  8.30263e-24 1.56949e-22
70671.8 6.77393e-33  7.77601e-36 3.26186e-29 6.90789e-24  6.90793e-24 1.60792e-22
66699.2 6.73449e-33  8.20256e-36 2.74213e-29 5.67675e-24  5.67678e-24 1.6468e-22
62949.9 6.69504e-33  8.65234e-36 2.30521e-29 4.60422e-24  4.60425e-24 1.68603e-22
59411.3 6.65559e-33  9.1266e-36 1.93791e-29 3.68279e-24  3.68281e-24 1.72566e-22
56071.7 6.61615e-33  9.62666e-36 1.62914e-29 2.9027e-24  2.90271e-24 1.76554e-22
52919.8 6.5767e-33  1.01539e-35 1.36956e-29 2.25243e-24  2.25244e-24 1.80581e-22
49945.1 6.53726e-33  1.07098e-35 1.15134e-29 1.71919e-24  1.7192e-24 1.84644e-22
47137.5 6.49781e-33  1.12959e-35 9.67892e-30 1.28941e-24  1.28942e-24 1.88732e-22
44487.8 6.45837e-33  1.19139e-35 8.13673e-30 9.49294e-25  9.49302e-25 1.92852e-22
41987.1 6.41892e-33  1.25653e-35 6.84027e-30 6.85295e-25  6.85302e-25 1.96989e-22
39626.9 6.37947e-33  1.32521e-35 5.75037e-30 4.84521e-25  4.84527e-25 2.01163e-22
37399.4 6.34003e-33  1.39762e-35 4.83414e-30 3.35098e-25  3.35103e-25 2.05339e-22
35297.1 6.30058e-33  1.47394e-35 4.06389e-30 2.26405e-25  2.26409e-25 2.09555e-22
33312.9 6.26114e-33  1.55441e-35 3.41637e-30 1.49228e-25  1.49232e-25 2.13773e-22
31440.4 6.22169e-33  1.63923e-35 2.87203e-30 9.5815e-26  9.58178e-26 2.17996e-22
29673 6.18224e-33  1.72863e-35 2.41441e-30 5.9835e-26  5.98375e-26 2.22244e-22
28005 6.1428e-33  1.82287e-35 2.02971e-30 3.62828e-26  3.62849e-26 2.26495e-22
26430.8 6.10335e-33  1.92221e-35 1.70631e-30 2.13262e-26  2.13279e-26 2.30747e-22
24945.1 6.06391e-33  2.02691e-35 1.43444e-30 1.21279e-26  1.21293e-26 2.34997e-22
23542.9 6.02446e-33  2.13727e-35 1.20588e-30 6.65987e-27  6.66108e-27 2.39247e-22
22219.5 5.98502e-33  2.25358e-35 1.01374e-30 3.52412e-27  3.52514e-27 2.43499e-22
20970.5 5.94557e-33  2.37616e-35 8.52217e-31 1.79301e-27  1.79387e-27 2.47743e-22
19791.7 5.90612e-33  2.50536e-35 7.1643e-31 8.75067e-28  8.7579e-28 2.51973e-22
18679.1 5.86668e-33  2.64151e-35 6.02277e-31 4.08645e-28  4.09253e-28 2.56191e-22
17629.1 5.82723e-33  2.78499e-35 5.06314e-31 1.82113e-28  1.82625e-28 2.60395e-22
16638.2 5.78779e-33  2.93619e-35 4.2564e-31 7.72297e-29  7.76612e-29 2.6458e-22
15702.9 5.74834e-33  3.09553e-35 3.57821e-31 3.1068e-29  3.14316e-29 2.68721e-22
14820.2 5.70889e-33  3.26342e-35 3.00808e-31 1.18129e-29  1.21195e-29 2.72854e-22
13987.1 5.66945e-33  3.44034e-35 2.52879e-31 4.22613e-30  4.48471e-30 2.76942e-22
13200.9 5.63e-33  3.62675e-35 2.12586e-31 1.41292e-30  1.63118e-30 2.80989e-22
12458.8 5.59056e-33  3.82317e-35 1.78714e-31 4.35942e-31  6.20285e-31 2.85031e-22
11758.5 5.55111e-33  4.03011e-35 1.50239e-31 1.20665e-31  2.76495e-31 2.89007e-22
